year,source,dimension,total_comments,positif,netral,negatif,pct_positif,pct_netral,pct_negatif
2020,youtube,integritas_korupsi,727,27,587,113,3.7,80.7,15.5
2020,youtube,kepercayaan_publik,348,78,265,5,22.4,76.1,1.4
2020,youtube,layanan_digital_ux,330,128,192,10,38.8,58.2,3.0
2020,youtube,putusan_kontroversial,1527,54,1364,109,3.5,89.3,7.1
2021,youtube,integritas_korupsi,565,90,433,42,15.9,76.6,7.4
2021,youtube,kepercayaan_publik,564,83,468,13,14.7,83.0,2.3
2021,youtube,layanan_digital_ux,178,44,133,1,24.7,74.7,0.6
2021,youtube,putusan_kontroversial,387,31,339,17,8.0,87.6,4.4
2022,youtube,integritas_korupsi,2244,90,1653,501,4.0,73.7,22.3
2022,youtube,kepercayaan_publik,1052,60,800,192,5.7,76.0,18.3
2022,youtube,layanan_digital_ux,241,70,168,3,29.0,69.7,1.2
2022,youtube,putusan_kontroversial,621,51,492,78,8.2,79.2,12.6
2023,youtube,integritas_korupsi,1051,30,816,205,2.9,77.6,19.5
2023,youtube,kepercayaan_publik,655,65,544,46,9.9,83.1,7.0
2023,youtube,layanan_digital_ux,238,38,195,5,16.0,81.9,2.1
2023,youtube,putusan_kontroversial,797,50,700,47,6.3,87.8,5.9
2024,youtube,integritas_korupsi,2150,83,1705,362,3.9,79.3,16.8
2024,youtube,kepercayaan_publik,943,65,791,87,6.9,83.9,9.2
2024,youtube,layanan_digital_ux,824,89,682,53,10.8,82.8,6.4
2024,youtube,putusan_kontroversial,866,24,745,97,2.8,86.0,11.2
2025,youtube,integritas_korupsi,1940,59,1560,321,3.0,80.4,16.5
2025,youtube,kepercayaan_publik,640,29,553,58,4.5,86.4,9.1
2025,youtube,layanan_digital_ux,819,87,685,47,10.6,83.6,5.7
2025,youtube,putusan_kontroversial,1025,41,856,128,4.0,83.5,12.5
2026,youtube,integritas_korupsi,547,12,422,113,2.2,77.1,20.7
2026,youtube,kepercayaan_publik,678,37,586,55,5.5,86.4,8.1
2026,youtube,layanan_digital_ux,467,48,395,24,10.3,84.6,5.1
2026,youtube,putusan_kontroversial,1772,53,1659,60,3.0,93.6,3.4
