comment_id,video_id,keyword,category,text,sentiment
Ugx3duVcCllMdgos4ih4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,Rakyat seluruh Indonesia mendukung bang Rivay satranegara KLO Alkatiri sok tau seorang pengacara pembela orang bersalah🤲🤲🤲💪💪💪🇮🇩🇮🇩🇮🇩,netral
Ugz9YaBn2TmbXPWG1ql4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,"AKU DUKUNG ROY PANCI
100% PANTAS UNTUK TERPIDANA MASUK PENJARA 12 tahun",netral
UgwS99O9gHvq-lxmNAx4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,Prapid berulang ulang di situ ada kong kalikong,netral
Ugy7i5qJ0-xmwzbxGfN4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,Alkatiri bicra bulak balik bikin pusing,netral
UgzVW8GMncqGO_KP9kR4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,"Maka nya Roy Suryo, klu kamu merasa ijazah pak Jokowi palsu, ke apa kamu takut masuk pokok perkara, brani nuduh harus brani bertanggung jawab",netral
UgyRBxq6VBiLWkgbQ4h4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,"Pasal adalah satu kesatuan aturan dalam kitab undang-undang baik formil maupun materiil, sedangkan ayat dalam pasal merinci aturan dalam pasal yang tidak berdiri sendiri.",netral
Ugxe8B5il8kt10meNxV4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,"Semua ini akibat model demokrasi skrg  untuk tahta dan harta,  rakyat kehilangan akal sehat, gila. Ganti demokrasi saat ini menjadi #demokrasi100%, wakil rakyat diundi. Wakil rakyat memilih pemimpin",netral
Ugys781opzZoUnvFOGx4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,"Batal demi hukum,  bilang aja takut di pokok perkara",netral
UgzAtMhescCsx-CjYkx4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,Intinya si tipeng takut sidang pokok perkara,netral
Ugx3IKI-kdnbVHh_mbt4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,"Kasiaann banget ya para pengacara2 pak Jokowi yg punya integritas tinggi,,
Harus dipertemukan dengan pengacara2 yg ngeyel karena kegoblokan mereka..
Yg merasa aturan hukum itu bisa diubah sesuai dengan keinginan mereka.",netral
UgxZKAdMKAIpbDdF6xh4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,"pengacara tifa, malu Krn dia tau siapa yg benar dan yg salah.. tau kn kenapa pakai masker🥷🥷",netral
UgyOlnDkYw7Xd74ThYh4AaABAg,tiqKhPNDOwM,putusan Mahkamah Agung,institusional,Untuk Roy Suryo cs cepat jebloskan masuk bui rakyat sudah muak mereka seolah-olah korban padahal pelaku kegaduhan!,netral
