group_type,group_value,total_comments,positif,netral,negatif,pct_positif,pct_netral,pct_negatif
overall,all,24196,1616,19788,2792,6.7,81.8,11.5
keyword,Gazalba Saleh,582,18,434,130,3.1,74.6,22.3
keyword,Hasbi Hasan MA,283,76,182,25,26.9,64.3,8.8
keyword,Nurhadi MA,642,24,534,84,3.7,83.2,13.1
keyword,OTT hakim agung,400,11,277,112,2.8,69.2,28.0
keyword,SIPP pengadilan,2,0,1,1,0.0,50.0,50.0
keyword,Sudrajad Dimyati,745,40,575,130,5.4,77.2,17.4
keyword,Zarof Ricar,1102,22,876,204,2.0,79.5,18.5
keyword,akuntabilitas MA,7,2,5,0,28.6,71.4,0.0
keyword,cara cari putusan online Mahkamah Agung,118,11,99,8,9.3,83.9,6.8
keyword,cara cek jadwal sidang online,29,4,25,0,13.8,86.2,0.0
keyword,cara daftar e-court,202,83,117,2,41.1,57.9,1.0
keyword,cara download putusan MA,80,8,67,5,10.0,83.8,6.2
keyword,cara pakai aplikasi SIPP,694,53,623,18,7.6,89.8,2.6
keyword,citra Mahkamah Agung,689,24,605,60,3.5,87.8,8.7
keyword,direktori putusan MA,1167,71,998,98,6.1,85.5,8.4
keyword,diskon hukuman MA,490,14,399,77,2.9,81.4,15.7
keyword,e-court Mahkamah Agung,173,37,135,1,21.4,78.0,0.6
keyword,gak percaya Mahkamah Agung,711,26,577,108,3.7,81.2,15.2
keyword,gratifikasi hakim agung,655,35,531,89,5.3,81.1,13.6
keyword,kasasi MA,2200,106,2020,74,4.8,91.8,3.4
keyword,kecewa putusan MA,1006,50,827,129,5.0,82.2,12.8
keyword,kepercayaan publik Mahkamah Agung,435,38,340,57,8.7,78.2,13.1
keyword,kode etik hakim agung,150,3,118,29,2.0,78.7,19.3
keyword,mafia peradilan,847,23,675,149,2.7,79.7,17.6
keyword,makelar kasus MA,1469,52,1140,277,3.5,77.6,18.9
keyword,peninjauan kembali MA,378,32,324,22,8.5,85.7,5.8
keyword,percuma lapor MA,795,139,644,12,17.5,81.0,1.5
keyword,putusan MA pilkada,371,16,324,31,4.3,87.3,8.4
keyword,putusan Mahkamah Agung,759,64,633,62,8.4,83.4,8.2
keyword,reputasi Mahkamah Agung,1183,134,966,83,11.3,81.7,7.0
keyword,ribet aplikasi SIPP,153,8,142,3,5.2,92.8,2.0
keyword,suap Mahkamah Agung,1262,48,931,283,3.8,73.8,22.4
keyword,transparansi Mahkamah Agung,54,4,43,7,7.4,79.6,13.0
keyword,tutorial SIPP pengadilan,30,6,23,1,20.0,76.7,3.3
keyword,tutorial e-court Indonesia,449,223,220,6,49.7,49.0,1.3
keyword,vonis MA,3287,86,2854,347,2.6,86.8,10.6
keyword,vonis bebas kasasi MA,597,25,504,68,4.2,84.4,11.4
category,institusional,22441,1220,18472,2749,5.4,82.3,12.2
category,tutorial_website,1755,396,1316,43,22.6,75.0,2.5
