video_id,title,channel,published_at,published_year,published_month,keyword,category,dimension
V8PcxW6_kA8,HUT ke-81 Mahkamah Agung | Sambutan dan Pesan YM Ketua MA,Humas Mahkamah Agung RI,2026-08-19T02:00:52Z,2026,8,putusan Mahkamah Agung,institusional,putusan_kontroversial
tiqKhPNDOwM,Nasib Praperadilan dr Tifa &amp; Aturan Baru SEMA Mahkamah Agung | FULL INTERUPSI | 21/08,SINDOnews,2026-08-22T13:00:31Z,2026,8,putusan Mahkamah Agung,institusional,putusan_kontroversial
8tDYskVLBo4,Kasus Gratifikasi MA: Nurhadi Divonis 5 Tahun Penjara - [Top News],METRO TV ,2026-04-01T14:04:04Z,2026,4,putusan Mahkamah Agung,institusional,putusan_kontroversial
5nF7_IxsqQc,KETUA MA TEGASKAN: PUTUSAN BEBAS TAK BISA DIBANDING &amp; DIKASASI!,Media Indonesia,2026-08-21T00:36:39Z,2026,8,putusan Mahkamah Agung,institusional,putusan_kontroversial
7ACZQcnIiPg,Aturan Baru MA Stop Perlawanan Tifa | AKIM,tvOneNews ,2026-08-22T14:04:27Z,2026,8,putusan Mahkamah Agung,institusional,putusan_kontroversial
CozO2JvXQ_8,Mahkamah Agung Respons Ralat Rekomendasi Komisi Yudisial soal Dugaan Pelanggaran Etik Hakim,KOMPASTV ACEH,2026-08-06T09:30:31Z,2026,8,putusan Mahkamah Agung,institusional,putusan_kontroversial
dP2wbHrdhvI,Sejarah Baru! Sudharmawatiningsih Jadi Perempuan Pertama Panitera Mahkamah Agung - MA NEWS,KOMPASTV,2026-04-02T03:45:13Z,2026,4,putusan Mahkamah Agung,institusional,putusan_kontroversial
nMJfcVR1co0,Analisis Putusan Mahkamah Agung No. 904 K/PDT.SUS/2009 dalam Perspektif Hukum Perdata Internasional,NAUFAL DZAKI,2026-05-31T21:28:59Z,2026,5,putusan Mahkamah Agung,institusional,putusan_kontroversial
-RmtSmVkrkI,VONIS TOK! Eks Sekretaris MA Nurhadi Dihukum 5 Tahun Penjara &amp; Bayar Rp123 Miliar!,GARUDA TV,2026-04-01T23:11:13Z,2026,4,vonis MA,institusional,putusan_kontroversial
DzLcuSrJhBE,"Putusan MA, Maia ceraikan Ahmad Dhani karena selingkuh dengan Mulan",KucingPintar,2026-05-01T03:15:48Z,2026,5,vonis MA,institusional,putusan_kontroversial
Wm7sGtsS0Ec,Putusan MA Kasus Pajak:  Bukti adalah Segalanya (Tolak),Analisis Putusan,2026-07-02T04:31:39Z,2026,7,vonis MA,institusional,putusan_kontroversial
vMoF6Z5Yqb4,ANALISIS PUTUSAN DESAIN INDUSTRI: KASUS KACA HELM vs NOVELTY | Putusan MA No.50 K/Pdt.Sus-HKI/2025,Nabila Indi,2026-04-29T18:46:47Z,2026,4,vonis MA,institusional,putusan_kontroversial
XX8vdvpwax0,"RAZMAN Tak Bisa Lagi Melawan, MA Tolak Kasasi, Kini Jalani Vonis 1,5 Tahun Penjara.",realita hari ini,2026-05-20T00:58:09Z,2026,5,vonis MA,institusional,putusan_kontroversial
iOfQb7cVnik,"Putusan Sudah Inkrah! MA Sudah Putus NCD Tak Sah, Unibank Sudah Pernah Digugat",Inilahcom,2026-05-28T01:59:50Z,2026,5,vonis MA,institusional,putusan_kontroversial
qe3OdpRx8yY,"FULL PANAS! Jaksa Sebut Nota Perlawanan Dokter Tifa Cacat Logika, Putusan MA Mutlak",Lintas iNews MNCTV,2026-07-17T07:16:57Z,2026,7,vonis MA,institusional,putusan_kontroversial
FtuFCgquJEA,"MA Tolak PK Tamron dalam Kasus Korupsi Timah, Tetap Vonis 18 Tahun Penjara  #hukum #berita #korupsi",Meja Hijau,2026-08-07T05:00:02Z,2026,8,vonis MA,institusional,putusan_kontroversial
YgdF-vlY3e8,"TERKUAK! KASUS HAK CIPTA GEN HALILINTAR SUDAH PUTUSAN MA, APAKAH AKAN BAYAR GANTI RUGI? | THROW BACK",STARPRO Indonesia,2026-04-08T14:30:33Z,2026,4,vonis MA,institusional,putusan_kontroversial
YuvQzefLqfQ,Analisis Putusan MA No. 1050 K/Pid/2016: Tindak Pidana Pemalsuan Surat Ahli Waris,hasanah nur alyah,2026-06-22T13:13:59Z,2026,6,vonis MA,institusional,putusan_kontroversial
Bdf11ypODJA,"Kasasi Perkuat Vonis 1,5 Tahun Penjara, Razman Nasution: Saya Menerima Putusan MA #matalokal",Mata Lokal,2026-05-28T00:29:59Z,2026,5,vonis MA,institusional,putusan_kontroversial
D-6WODxTIn8,Analisis Yuridis Tindak Pidana Pemalsuan Surat (Studi Putusan MA No. 811 K/Pid/2015) || UAS TIPITER,Radika Mulia,2026-06-21T09:53:23Z,2026,6,vonis MA,institusional,putusan_kontroversial
5QjPy2tT1LM,"Prabowo: 96,74% Perkara MA Selesai Kurang dari 3 Bulan",ARTILERI,2026-09-02T11:04:32Z,2026,9,vonis MA,institusional,putusan_kontroversial
